paper_id,query,title,abstract,query_type,abstract_length,label_length
12824,how can accreditation programs be improved?,Design of Assessment Information System for Program Accreditation,"Academic programs seek accreditation to raise their profile. Establishment of program assessment and continuous improvements processes is required to gain and maintain accreditation. Assessment processes are about defining course learning outcomes, student outcomes, and program educational objectives; collect course assessment data, perform statistical evaluations and derive meaningful conclusions to improve the program. Web-based technologies can be used to improve communication, collaboration, coordination and flow control among different entities involved in the processes. This paper presents a web-based system that was designed to assist in assessment and continuous improvement processes with objective to meet the requirements of two accreditation bodies in a program that has academically diverse faculty.",question,820,197
13434,how can accreditation programs be improved?,"Accreditation, Commercial Rankings, and New Approaches to Assessing the Quality of University Research and Education Programmes in the United States","Pressures on American higher education for assessment and accountability are increasing. Non-governmental accreditation provides an effective threshold measure of institutional and programme content and quality; however, both institutional and programme accreditation have problems that are being addressed within higher education. Commercial rankings have emerged to meet consumer demand for more information, but these endeavours have flaws, some of which are inherent in the commercial nature of these activities. The National Research Council (NRC) and the Association of American Universities (AAU) are engaged in efforts to improve the assessment of research doctorate programmes and, generally, of measures of quality in higher education and research.",question,758,226
17763,how can accreditation programs be improved?,Academic Quality Improvement Program: Using Quality Improvement as Tool for the Accreditation of Nursing Education,"In this article, the authors discuss an innovative approach to accreditation in higher education. Using a process known as the Academic Quality Improvement Program (AQIP), colleges and universities prepare for accreditation in a process that parallels other continuous quality improvement models. The AQIP moves away from traditional static accreditation processes and requires educational institutions to engage in a continuous effort that mirrors the Plan-Do-Check-Act model used today in many health care organizations. Beginning with a systems portfolio that is based on self-assessment, colleges and universities then use peer feedback to improve system-wide processes that affect their educational outcomes. The article reviews the AQIP model and outlines one college of nursing's experience.",question,798,198
18625,how can accreditation programs be improved?,Accreditation: quality assurance for education [Personal and Professional Growth],"Program accreditation is a quality assurance mechanism that serves a wide range of constituencies. Its overall purpose, however, is to serve the profession and society. By establishing standards for the educational system, it helps to assure that graduates of that system will have the knowledge required to successfully practice the profession and to be of service to society. Engineering and its related disciplines have developed efficient and effective accreditation systems in many countries and have established relationships among those countries to facilitate international cooperation. The accreditation process has changed significantly in the past few years and continues to evolve. The growing emphasis on program improvement and not just on meeting minimum standards is a positive development that will help to assure the continuing success of the profession.",question,872,117
22079,how can accreditation programs be improved?,Quality Assurance in the Preparation of Technical Professionals: The ABET Perspective,"Accreditation provides public recognition that an educational institution or program has met certain standards or criteria regarding students, curriculum, faculty, facilities, and support, ensuring a quality educational experience. Quality Assurance organizations generally adhere to the fundamental principles that accreditation is a nongovernmental process of peer review that educational institutions or programs may voluntarily undergo to determine if they are in compliance with standards set by the organization. There are two types of accreditation in USA – institutional and programmatic. The accreditation process requires a self-study undertaken by the institution, department, or program on a continuous basis, with frequent reviews, normally site visits, taking place every 5 to 10 years. Accreditation and certification are sometimes confused. In general, institutions, departments, and programs are accredited, and individuals are certified.",question,955,124
13434,how can accreditation programs be improved?,"Accreditation, Commercial Rankings, and New Approaches to Assessing the Quality of University Research and Education Programmes in the United States","Pressures on American higher education for assessment and accountability are increasing. Non-governmental accreditation provides an effective threshold measure of institutional and programme content and quality; however, both institutional and programme accreditation have problems that are being addressed within higher education. Commercial rankings have emerged to meet consumer demand for more information, but these endeavours have flaws, some of which are inherent in the commercial nature of these activities. The National Research Council (NRC) and the Association of American Universities (AAU) are engaged in efforts to improve the assessment of research doctorate programmes and, generally, of measures of quality in higher education and research.",question,758,226
17763,how can accreditation programs be improved?,Academic Quality Improvement Program: Using Quality Improvement as Tool for the Accreditation of Nursing Education,"In this article, the authors discuss an innovative approach to accreditation in higher education. Using a process known as the Academic Quality Improvement Program (AQIP), colleges and universities prepare for accreditation in a process that parallels other continuous quality improvement models. The AQIP moves away from traditional static accreditation processes and requires educational institutions to engage in a continuous effort that mirrors the Plan-Do-Check-Act model used today in many health care organizations. Beginning with a systems portfolio that is based on self-assessment, colleges and universities then use peer feedback to improve system-wide processes that affect their educational outcomes. The article reviews the AQIP model and outlines one college of nursing's experience.",question,798,198
5972,how can accreditation programs be improved?,A configurable assessment information system,"There has been a shift in accreditation away from an input-based approach to an outcome-based approach. In order to be accredited, programs and/or institutions no longer have to meet a long checklist of requirements concerning faculty, curriculum, facilities and so on. Instead, programs or institutions must demonstrate that they have formulated a set of attributes that they want graduates to possess at the time of graduation, and that they have a process in place to assess the extent to which they are successful in enabling graduates to achieve these attributes and to use the results of this assessment for program improvement.Many programs and institutions experienced difficulties in setting up an adequate assessment and continuous improvement process. This paper describes a configurable assessment information system that helps institutions and programs set up an assessment process and record the results of this process.",question,934,153
7094,how can accreditation programs be improved?,Is Accreditation an Opportunity for Positive Change or a Mirage,"Accreditation was originally conceived and applied as an assessment tool for the quality of university programs. However, its emphasis shifted to program objectives and learning outcomes from the original prescriptive focus on measurable inputs. Accreditation normally confirms that the institution/department offering a program has established suitable processes and resources to ensure that the required quality and standards are achieved. Through the years, it has become the fundamental quality assurance mechanism for engineering education (Prados et al. 2005; Sarin 2000; Woollacott 2009). Accreditation is an important step in the life of any professional program, especially for international benchmarking. In the case of engineering programs, accreditation by any signatory of the Washington Accord guarantees international recognition, a feature sought after by many colleges of engineering, especially those in developing countries. Accreditation confirms that graduates have attained a recognized academic standing and that they possess the professional competence to practice engineering. In a majority of developed countries, graduation from an accredited program is the primary step toward professional registration; however, in most developing countries, graduation from any engineering program confers sufficient license to practice engineering. In these countries, graduation from an internationally accredited program provides additional recognition and acceptance. The international recognition of an engineering program has become important in recent years and is likely to be promoted by the increasing mobility of engineering graduates. It is particularly important for graduates in developing countries, who aspire either to work in more developed countries or in multinational companies. Graduation from an accredited program assures possible employers of the quality of education of their entry-level professionals. Because employability of graduates is one of the primary indicators of success and ranking of engineering programs, the competition for talented students has inevitably created a strong tendency, almost a necessity, for engineering programs to be internationally accredited. The accreditation requirements of different accreditation bodies may differ in form and detail, but all expect a considerable amount of documentation as the basis for evaluation. The preparation of the documents can be extremely challenging for first-time program presenters; preparation for each revalidation of the accreditation is also a time consuming activity. This paper advocates that, although the accreditation process is very demanding, it provides a great opportunity for a comprehensive review of an academic program. Ideally, the accreditation process should not only improve the program itself, but should also promote the development of the faculty that delivers the program. However, neither of these two objectives is usually achieved in developing countries. The following argument is based on the authors’ extensive experiences in the management and delivery of engineering programs in different institutions and on their involvement in the preparation of accreditation documents. Unfortunately, the accreditation of a program is not, in itself, a guarantee that the spirit intended by accreditation bodies is captured and implemented in the program.",question,3386,158
18625,how can accreditation programs be improved?,Accreditation: quality assurance for education [Personal and Professional Growth],"Program accreditation is a quality assurance mechanism that serves a wide range of constituencies. Its overall purpose, however, is to serve the profession and society. By establishing standards for the educational system, it helps to assure that graduates of that system will have the knowledge required to successfully practice the profession and to be of service to society. Engineering and its related disciplines have developed efficient and effective accreditation systems in many countries and have established relationships among those countries to facilitate international cooperation. The accreditation process has changed significantly in the past few years and continues to evolve. The growing emphasis on program improvement and not just on meeting minimum standards is a positive development that will help to assure the continuing success of the profession.",question,872,117
