paper_id,query,title,abstract,label,query_type,abstract_length,label_length
19938,what are the benefits of intermittent fasting?,Intermittent Fasting: Potential Utility in the Treatment of Chronic Pain across the Clinical Spectrum,"Dietary behavior can have a consequential and wide-ranging influence on human health. Intermittent fasting, which involves intermittent restriction in energy intake, has been shown to have beneficial cellular, physiological, and system-wide effects in animal and human studies. Despite the potential utility in preventing, slowing, and reversing disease processes, the clinical application of intermittent fasting remains limited. The health benefits associated with the simple implementation of a 12 to 16 h fast suggest a promising role in the treatment of chronic pain. A literature review was completed to characterize the physiologic benefits of intermittent fasting and to relate the evidence to the mechanisms underlying chronic pain. Research on different fasting regimens is outlined and an overview of research demonstrating the benefits of intermittent fasting across diverse health conditions is provided. Data on the physiologic effects of intermittent fasting are summarized. The physiology of different pain states is reviewed and the possible implications for intermittent fasting in the treatment of chronic pain through non-invasive management, prehabilitation, and rehabilitation following injury and invasive procedures are presented. Evidence indicates the potential utility of intermittent fasting in the comprehensive management of chronic pain and warrants further investigation.","Intermittent fasting shows potential in treating chronic pain through non-invasive management, prehabilitation, and rehabilitation.",question,1403,131.0
18622,is jet lag a real thing?,Critical phase shifts slow down circadian clock recovery: implications for jet lag.,"Advancing or delaying the light-dark (LD) cycle perturbs the circadian clock, which eventually recovers its original phase with respect to the new LD cycle. Readjustment of the clock occurs by shifting its phase in the same (orthodromic re-entrainment) or opposite direction (antidromic re-entrainment) as the shift in the LD cycle. To investigate circadian clock recovery after phase shifts of the LD cycle we use a detailed computational model previously proposed for the cellular regulatory network underlying the mammalian circadian clock. The model predicts the existence of a sharp threshold separating orthodromic from antidromic re-entrainment. In the vicinity of this threshold, resynchronization of the clock after a phase shift markedly slows down. The type of re-entrainment, the position of the threshold and the time required for resynchronization depend on multiple factors such as the autonomous period of the clock, the direction and magnitude of the phase shift, the clock biochemical kinetic parameters, and light intensity. Partitioning the phase shift into a series of smaller phases shifts decreases the impact on the recovery of the circadian clock. We use the phase response curve to predict the location of the threshold separating orthodromic and antidromic re-entrainment after advanced or delayed phase shifts of the LD cycle. The marked increase in recovery times predicted near the threshold could be responsible for the most severe disturbances of the human circadian clock associated with jet lag.","Jet lag is real, as the marked increase in recovery times after phase shifts of the light-dark cycle can cause severe disturbances in the human circadian clock.",question,1529,160.0
12306,can fish oil improve mood?,Fish Oil,"Fish oil, made from the tissue of oily fish‐such as salmon, tuna, mackerel, herring, lake trout and sardines‐has many health benefits. Fish oil contains important Omega‐3 fatty acids , most notably eicosapentaenoic acid (EPA) and decosahexaenoic acid (DHA). These Omega‐3 fatty acids are believed to have health benefits ranging from reducing the risk of heart attack and coronary heart disease to combating depression, bipolar disorder and schizophrenia.","Fish oil's Omega-3 fatty acids may have health benefits including combating depression, bipolar disorder, and schizophrenia.",question,455,124.0
7626,does blood donation negatively impact immune system,Proposed Mechanisms of Transfusion-Induced Immunomodulation,"The effects of blood transfusion on the functions of the immune system have been studied in humans and laboratory animals for more than 25 years. It is becoming customary to refer to these effects on the immune system as “immunomodulatory,” as they may involve augmentation as well as suppression","Blood transfusion may have immunomodulatory effects, involving both augmentation and suppression of the immune system.",question,296,118.0
17538,is stroke correlated to covid-19?,Features of etiopathogenetic factors and course of stroke after coronavirus infection,"Disorder of coronary circulation is one of the most severe complications of COVID‑19. Strokes that develop against the background of coronavirus infection are more often associated with occlusion of large vessels and have a more severe course. The frequency of strokes associated with COVID‑19, according to different authors, ranges from 1 to 6 %.Objective. To analyze the etiopathogenetic factors, the course of stroke after a coronavirus infection, and to analyze the possible relationship between the severity of COVID‑19 and the severity of stroke.Materials and methods. Observation of 110 patients of the neurological department of the First Republican Clinical Hospital of Udmurtia for the period from 2020 to 2021 with confirmed ischemic or hemorrhagic stroke associated with COVID‑19. Statistical data processing was carried out in Microsoft Excel 2013, MedCalc.Results. Hypertension, atherosclerosis, and cardiac arrhythmia predominated in the structure of comorbidities in the examined patients. In 88.0 % of cases, ischemic stroke was observed in patients after infection, mainly the lesion concerned the carotid basin (55.5 %). Patients more often had focal neurological symptoms, among which hemiparesis and hemiplegia prevailed. Features of the results of laboratory diagnostics is the presence of coagulopathy, renal and hepatic insufficiency: increased levels of fibrinogen, D-dimers, creatinine, urea, proteinuria. According to neuroimaging data, in 54.5 % of cases, the stroke focus was more than 15 mm; duplex scanning of vessels in 95.0 % of cases revealed signs of atherosclerosis of the brachiocephalic arteries, carotid arteries in 54.5 % of cases. Correlation analysis revealed the relationship between the severity of COVID‑19 and the clinical manifestations of stroke. Most of the strokes occurred in the subjects within 1–6 months (40.9 %) after suffering COVID‑19.Conclusion. In the development of stroke after suffering COVID‑19, coagulopathy, renal liver failure, cardiovascular comorbidities, especially hypertension, and atherosclerosis play a significant role. Stroke severity is correlated with the severity of COVID‑19.","Stroke severity is correlated with the severity of COVID-19, and most strokes occurred within 1-6 months after suffering from the virus.",question,2155,136.0
9011,what are the current nanomedicine-based drugs advancements?,Nanocatalytic Medicine,"Catalysis and medicine are often considered as two independent research fields with their own respective scientific phenomena. Promoted by recent advances in nanochemistry, large numbers of nanocatalysts, such as nanozymes, photocatalysts, and electrocatalysts, have been applied in vivo to initiate catalytic reactions and modulate biological microenvironments for generating therapeutic effects. The rapid growth of research in biomedical applications of nanocatalysts has led to the concept of “nanocatalytic medicine,” which is expected to promote the further advance of such a subdiscipline in nanomedicine. The high efficiency and selectivity of catalysis that chemists strived to achieve in the past century can be ingeniously translated into high efficacy and mitigated side effects in theranostics by using “nanocatalytic medicine” to steer catalytic reactions for optimized therapeutic outcomes. Here, the rationale behind the construction of nanocatalytic medicine is eludicated based on the essential reaction factors of catalytic reactions (catalysts, energy input, and reactant). Recent advances in this burgeoning field are then comprehensively presented and the mechanisms by which catalytic nanosystems are conferred with theranostic functions are discussed in detail. It is believed that such an emerging catalytic therapeutic modality will play a more important role in the field of nanomedicine.","Nanocatalytic medicine applies nanocatalysts like nanozymes, photocatalysts, and electrocatalysts in vivo for therapeutic effects, high efficacy, and mitigated side effects in theranostics.",question,1415,189.0
20172,Does social media improve relationships?,A New Strategy for Customer Engagement: How Do French Firms Use Social CRM?,"A company is no longer only focused on winning market share or increasing demand, but also on customer relationships, engagement and retention. The idea of improving relationships with customers by using social media is called social customer relationship management (SCRM). The objective of this exploratory research is to define a grid of analysis of a SCRM strategy. To do so, a double analysis was conducted: a qualitative research on CAC 40 French firms and a quantitative survey on customer’s perception of SCRM. Results show that most of the French top companies are not considering SCRM as much as customers (generation Y) want them to.",French top companies are not considering social customer relationship management (SCRM) as much as customers (generation Y) want them to.,question,644,137.0
21432,what is corporate sociopolitical activism?,Activism. The Evolution of an Investor Strategy,"Activism, defined as the way in which shareholders can assert their power as owners of a company to influence its behavior, arose in the US in the 1980’s. Then in 2008, with the start of the economical financial crisis, it appeared also in Europe. This study highlights the main characteristics of activism and how the phenomenon evolved, moving from the US to Europe.","Activism is when shareholders use their power as company owners to influence its behavior, originating in the US in the 1980s and spreading to Europe in 2008.",question,368,158.0
17704,"do dairy products, particulalry milk, increase pcos",A survey of PCB congeners in U.K. cows' milk.,"Samples of unpasteurised bulked milk, taken directly from ten herds of dairy cattle on rural and urban farms in the north west of England on five separate sampling occasions, were analysed for a range of PCB congeners. Sigma PCB concentrations (sum of 37 congeners) ranged from 3.4-16.4 ng/g milk fat with a mean sigma PCB concentration of 8.4 ng/g milk fat. The dominating congeners were 118, 153, 138 and 180, which contributed 15%, 20%, 17% and 9% of the sigma PCB load respectively. The chlorine pattern of the congeners which made moderate or major contributions to the sigma PCB concentration were typically substituted at both para positions (4,4'), while the PCB congeners not detected in the milk had at least one ring that was not 4-substituted. These results indicate the 4,4' substitution pattern as being the key to PCB persistence in cows. It is estimated that consumption of typical daily intakes of milk with the PCB concentrations measured in this study would contribute 11% of the average daily sigma PCB intake for individuals in the UK. This contribution would increase to 30% when exposure through the consumption of dairy products prepared from such milk (e.g. cheese, butter) is taken into account. It is estimated that the inclusion of the TEF assigned PCBs would typically increase the TEQ rating of cows' milk by approximately 40% over that attributed to PCDD/Fs alone.","The 4,4' substitution pattern is key to PCB persistence in cows, contributing to 11% of the average daily sigma PCB intake for individuals in the UK.",question,1395,149.0
818,what are the recent influential researches on game narrative?,Videogames as “Minor Literature”: Reading Videogame Stories through Paratexts,"Videogames have, since the beginning of game studies as a discipline, been placed at a problematic cusp between games and narratives. Stories are important in videogames, especially in those such as Grand Theft Auto IV (2008), Fallout 3 (2008), and other games with a pronounced narrative intention. However, the element of play and multiplicity of the narrative makes it difficult to analyze them with traditional critical tools: it is easy, therefore, to dismiss them from the narrative canon. Another problem that videogame research faces is that game-narratives are ephemeral and the textual artefact of the game is substantially contained in the player’s experience. However, an entire range of paratexts, such as walkthroughs and after-action reports, where players construct narratives while recording their in-game experiences, are available for analysis. This paper points towards the urgency of beginning to study ludic paratexts like walkthroughs and after-action reports to understand better the narrative process in videogames. In doing so, it will explore how a player has rewritten the history of Rome through Rome: Total War (2004) and how to do science fiction differently in Fallout 3. Simultaneously, it will identify similar characteristics in examples from established literary media, such as Julio Cortazar’s Hopscotch (1987) and Italo Calvino’s A Castle of Crossed Destinies (1977), to name only a couple.",Studying ludic paratexts like walkthroughs and after-action reports can help better understand the narrative process in videogames.,question,1428,131.0
3342,does high protein diet protect against bone loss as we age?,Protein and bone health across the lifespan,"Bone health is determined by the rate of accrual in early life, followed by the rate of age-associated bone loss. Dietary protein intake might have a role in bone health across both of these phases via pleiotropic mechanistic pathways. Herein we summarise the pathways through which protein may exert either a positive or negative influence on bone. In the introduction, we describe the acid-ash hypothesis, which states that a high-protein intake may lead to an acidic residue that must be neutralised through the leaching of calcium and other minerals from the bone, subsequently leading to demineralisation and bone weakening. Conversely, and as described in the ‘Against: mechanisms through which protein may negatively impact bone’ section, protein intake may act to strengthen the bone by stimulating the activity of various anabolic hormones and growth factors, or by optimising muscle mass and functionality, which itself has an osteogenic influence. The net effect of these contrasting pathways is described in the ‘For: mechanisms through which protein may positively impact bone’ section, where a number of meta-analyses have demonstrated that higher protein intakes have a small positive impact on bone mass and fracture risk. Sometimes higher than recommended protein intakes are advised, e.g. during the earlier and later phases of the lifespan or during reduced energy availability. We conclude that protein is an essential nutrient for bone health, although further research is required to clarify the mechanistic pathways through which it exerts its influence, along with the clarification of the quantities, food sources and timing to allow for the optimisation of this protective influence and ultimately a reduction in fracture risk.",Higher protein intakes have a small positive impact on bone mass and fracture risk.,question,1753,83.0
15715,Do interest rates impact inflation?,Stock market performance: Reaction to interest rates and inflation rates,"This paper investigates the wealth effects of the consumer price index, interest rate, domestic credit and real economic activity on the Amman Stock Exchange performance. Over the period 1991–2020 using the autoregressive distributed lag (ARDL) bounds test. While the interest rate is a powerful monetary tool to fight inflation and recession, it can be detrimental to investors. The target variables, consumer price index (CPI) and interest rate (IDR), are both highly significant with the correct signs. An increase of 1 percent in CPI and IDR leads to a fall in stock prices by 1.6 percent and 5 percent, respectively. While the central bank is targeting inflation by raising interest rates, its actions reflect negatively on the stock market. The short-run model confirms the causality from the independent variables to the dependent variable. Moreover, the error correction term (ECT) is very high and significant at the 1 percent level amounting to 83.3 percent, which confirms the evidence of the long-run relationship. Monetary objectives are really important, but financial stability is also important.","An increase of 1 percent in interest rates leads to a fall in stock prices by 5 percent, reflecting negatively on the stock market.",question,1111,131.0
17850,Does spanking positively impact childhood development?,Spanking and Corporal Punishment Parenting Practices and Child Development: A Systematic Review.,"Violence against children is a significant problem, particularly during early childhood development. Spanking and other forms of corporal punishment in child-rearing have been used by families worldwide to correct children's unwanted behaviors. Despite previous studies focusing on the negative consequences of these parental practices, open questions remain. The present study aimed to systematically review the empirical studies published in scientific literature that examined the associations between parenting practices of spanking and corporal punishment of mothers and their children's behaviors and development in early childhood. Search was performed in PubMed, APA PsycNet, Web of Science, SciELO, and LILACS databases using the combination of the following keywords: ((spank OR physical punishment OR physical abuse OR physical maltreatment OR corporal punishment) AND (parenting)) AND (child* development OR child* behavior). The inclusion and exclusion criteria were applied and 34 articles were selected for review. The inclusion criteria were the following: studies that evaluated associations between maternal spanking or corporal punishment practices and behaviors or development of 0-to-6-year-old children; quantitative studies; studies published in English, Spanish, or Portuguese language. The results showed that in 94% of the studies, there were significant associations between maternal spanking and corporal punishment with deteriorated child behavior and development, concurrently or later. In addition, maternal physical practices also acted as mediators or moderator variables in models that explained behavioral and developmental problems in early childhood.",Spanking and corporal punishment are associated with deteriorated child behavior and development in 94% of the studies reviewed.,question,1687,128.0
14537,does the frequency of bacteremia vary depending on the pneumococcal serotype?,EPIDEMIOLOGY OF PNEUMOCOCCAL DISEASE IN CHILDREN,"The pneumococcus is the pathogen recovered most often from blood cultures in our hospital. We identified 205 episodes of systemic pneumococcal infections in 201 children during a 34 mo. period. There were 54 infections in 1978 (10 months), 64 in 1979 and 87 in 1980. The frequency of infections was highest in May and April (mean number of episodes/month 10.3 and 9.3 respectively) and was lowest in August and September (1.3 and 1.6). Children with pneumococcal infection ranged in age from 1 month to 14 years (mean age of 20 months). There were 126 boys and 75 girls. Seventy six percent of the children were black. Occult bacteremia (128 episodes) was the most frequently seen illness. There were 40 instances of pneumonia with bacteremia, 31 of meningitis, 4 of cellulitis and 2 of septic arthritis. Three children had recurrent infections: one with sickle cell anemia had three separate episodes caused by type 23F despite having received pneumococcal vaccine. Four children died: two had meningitis, one (asplenic child) had bacteremia and one (with myocarditis) had bacteremic pneumonia. One hundred thirty isolates were serotyped. The serotypes encountered were: type 14(32%), type 4(13%), type 23F(9%), type 6B(8%), type 19F(8%), type 18C(7.7%), type 9V(7%), types 3, 6A and 22F (2%each), types 15C and 19A(1.5%each), types 8, 10A, 16, 21 and 33F(0.8%each). One isolate was nontypable. Seventy five percent of the isolates were vaccine types; however, almost 3/4 of these isolates belonged to serotypes 4, 6A, 14, and 23F that induce weak immune response in young children.","The frequency of bacteremia varies depending on the pneumococcal serotype, with type 14 being the most common (32%), followed by type 4 (13%), type 23F (9%), and others.",question,1583,169.0
22336,what is the relation between temporomandibular joint disorders and eeg?,Relationship between psychological factors and symptoms of TMD in university undergraduate students.,"Temporomandibular disorders is a collective term used to describe a number of related disorders involving the temporomandibular joints, masticatory muscles and occlusion with common symptoms such as pain, restricted movement, muscle tenderness and intermittent joint sounds. The multifactorial TMD etiology is related to emotional tension, occlusal interferences, tooth loss, postural deviation, masticatory muscular dysfunction, internal and external changes in TMJ structure and the various associations of these factors. The aim of this study was to evaluate the prevalence of the relationship between signs of psychological distress and temporomandibular disorder in university students. A total 150 volunteers participated in this study. They attended different courses in the field of human science at one public university and four private universities. TMD was assessed by the Research Diagnostic Criteria (RDC) questionnaire. Anxiety was measured by means of a self-evaluative questionnaire, Spielberger's Trait-State anxiety inventory, to evaluate students'state and trait anxiety. The results of the two questionnaires were compared to determine the relationship between anxiety levels and severity degrees of chronic TMD pain by means of the chi-square test. The significance level was set at 5%. The statistical analysis showed that the TMD degree has a positive association with state-anxiety (p = 0.008; p < 0.05) and negative with trait-anxiety (p = 0.619; p < 0.05). Moreover a high TMD rate was observed among the students (40%). This study concluded that there is a positive association between TMD and anxiety.","TMD has a positive association with anxiety, with a high TMD rate (40%) observed among university students.",question,1630,107.0
2018,does ella 30mg cause pcos?,"Randomized double blind clinical trial evaluating the Ellagic acid effects on insulin resistance, oxidative stress and sex hormones levels in women with polycystic ovarian syndrome","Objective The design of this study was due to the report of the antioxidant properties of Ellagic acid (EA) for its evaluation on the Insulin resistance (IR), oxidative stress and sex hormones levels in women with polycystic ovarian syndrome (PCOS). Methods In this randomized, double-blind, placebo-controlled clinical trial, 60 patients were recruited. Patients were randomly allocated consumed a capsule containing 200 mg of EA per day ( n  = 30) or placebo ( n  = 30) for 8 weeks. The fasting blood sugar (FBS), insulin, IR, total cholesterol (TC), triglycerides (TG), low density lipoprotein (LDL), high density lipoprotein (HDL), total antioxidant capacity (TAC), Malondialdehyde (MDA), C-reactive protein (CRP), Tumor necrosis factor-alpha (TNF-α), sex hormones and anti-mullerian hormone (AMH) were measured at the beginning and end of the study. Result At the end of the study, the mean of FBS, insulin, IR, TC, TG, LDL, MDA, CRP, TNF-α, total testosterone, prolactin and AMH were significantly decreased in the intervention group compared to the placebo group ( P  < 0.05). Also, there was a significant increase in the mean of TAC after supplementation with EA ( P  < 0.05). At the end of the study, no significant changes were observed in the mean of anthropometric factors, physical activity and food intake ( P  > 0.05). Conclusion EA supplementation can be helpful as a diet supplement in women with PCOS through improvement in insulin resistance. This supplement may be used to reduce metabolic disorders in women. Trial registration This study was retrospectively (07–07-2019) registered in the Iranian website ( www.irct.ir ) for registration of clinical trials ( IRCT20141025019669N12 ).",Ellagic acid supplementation improves insulin resistance and reduces metabolic disorders in women with PCOS.,question,1706,108.0
5146,Can ketamine therapy help with depression?,Rapid Antidepressant Action of Ketamine in Psychiatric Patients with Suicidality - a Case Series,"Ketamine, a non-competitive NMDA receptor antagonist with rapid antidepressant action, is a novel approach in modulating glutamate receptors for management of treatment-resistant major depressive disorder. It clinically engenders meaningful advances in depression therapeutics. This case series highlights the role of low dose intravenous ketamine infusion i.e., 0.5 mg/kg dissolved in 100 ml normal saline and given over a period of 40 minutes in patients of depression who were contemplating suicide.","Ketamine therapy, using low dose intravenous infusion, can help manage treatment-resistant major depressive disorder and reduce suicidality.",question,502,140.0
7546,what are the short-term and long-term effects of unethical pro-organisational behavior?,Feeling proud but guilty? Unpacking the paradoxical nature of unethical pro-organizational behavior,"Abstract Integrating appraisal theories of emotion and the literature of self-conscious emotion, we argue that UPB has a paradoxical nature that can lead to ambivalent emotional reactions, with implications for subsequent behavior. On the one hand, because UPB benefits one’s organization, it should trigger feelings of pride. However, given its unethical nature, UPB should also trigger feelings of guilt. Using an experience sampling study of 91 customer-service agent dyads in the technology consultancy industry, we find that daily UPB is positively associated with daily pride and guilt. These emotions in turn lead to increased citizenship behavior directed towards the organization and customers, respectively. We replicate these findings with another experience sampling study of 78 triads (focal employees, co-workers, and customers) in the financial service industry. More importantly, we find that service employees’ guilt proneness moderates the link between daily UPB and pride, such that UPB leads to heightened feelings of pride especially when the service employees have lower levels of guilt proneness. We conclude by discussing the theoretical and practical implications of our work.","Unethical pro-organizational behavior can lead to feelings of both pride and guilt, which in turn increase citizenship behavior towards the organization and customers.",question,1201,167.0
